18,53.8,56.2,"#FFFFFF"
18,56.2,59,"#7F7F7F"
18,59,61.6,"#FFFFFF"
18,61.6,66.8,"#000000"
18,66.8,68.7,"#FFFFFF"
18,68.7,73.1,"#BFBFBF"
18,73.1,78.077248,"#FFFFFF"
19,0,6.9,"#FFFFFF"
19,6.9,13.9,"#BFBFBF"
19,13.9,14,"#FFFFFF"
19,14,16.3,"#BFBFBF"
19,16.3,20,"#FFFFFF"
19,20,24.4,"#000000"
19,24.4,26.5,"#8B0000"
19,26.5,28.6,"#8B0000"
19,28.6,32.4,"#000000"
19,32.4,35.5,"#FFFFFF"
19,35.5,38.3,"#BFBFBF"
19,38.3,38.7,"#FFFFFF"
19,38.7,43.4,"#BFBFBF"
19,43.4,45.2,"#FFFFFF"
19,45.2,48,"#BFBFBF"
19,48,51.4,"#FFFFFF"
19,51.4,53.6,"#BFBFBF"
19,53.6,56.3,"#FFFFFF"
19,56.3,59.128983,"#BFBFBF"
2,0,4.4,"#FFFFFF"
2,4.4,7.1,"#7F7F7F"
2,7.1,12.2,"#FFFFFF"
2,12.2,16.7,"#404040"
2,16.7,19.2,"#FFFFFF"
2,19.2,24,"#404040"
2,24,27.9,"#FFFFFF"
2,27.9,30,"#BFBFBF"
2,30,32.1,"#FFFFFF"
2,32.1,36.6,"#404040"
2,36.6,38.6,"#FFFFFF"
2,38.6,41.8,"#7F7F7F"
2,41.8,47.8,"#FFFFFF"
2,47.8,52.9,"#000000"
2,52.9,55,"#FFFFFF"
2,55,61.3,"#000000"
2,61.3,64.1,"#FFFFFF"
2,64.1,68.6,"#7F7F7F"
2,68.6,71.5,"#FFFFFF"
2,71.5,73.5,"#7F7F7F"
2,73.5,75,"#FFFFFF"
2,75,83.3,"#000000"
2,83.3,90.5,"#FFFFFF"
2,90.5,93.3,"#8B0000"
2,93.3,96.8,"#8B0000"
2,96.8,102.7,"#FFFFFF"
2,102.7,106,"#7F7F7F"
2,106,107.5,"#FFFFFF"
2,107.5,110.2,"#BFBFBF"
2,110.2,114.4,"#FFFFFF"
2,114.4,118.8,"#7F7F7F"
2,118.8,122.4,"#FFFFFF"
2,122.4,129.9,"#7F7F7F"
2,129.9,132.5,"#FFFFFF"
2,132.5,135.1,"#BFBFBF"
2,135.1,136.8,"#FFFFFF"
2,136.8,142.2,"#000000"
2,142.2,144.1,"#FFFFFF"
2,144.1,148.7,"#000000"
2,148.7,149.9,"#FFFFFF"
2,149.9,150.5,"#BFBFBF"
2,150.5,154.9,"#FFFFFF"
2,154.9,159.8,"#404040"
2,159.8,163.7,"#FFFFFF"
2,163.7,169.7,"#404040"
2,169.7,178,"#FFFFFF"
2,178,180.6,"#7F7F7F"
2,180.6,183,"#FFFFFF"
2,183,189.4,"#404040"
2,189.4,191.9,"#FFFFFF"
2,191.9,197.4,"#404040"
2,197.4,203.3,"#FFFFFF"
2,203.3,204.9,"#7F7F7F"
2,204.9,209,"#FFFFFF"
2,209,215.3,"#000000"
2,215.3,221.5,"#FFFFFF"
2,221.5,225.2,"#404040"
2,225.2,226.1,"#FFFFFF"
2,226.1,231,"#000000"
2,231,235.6,"#FFFFFF"
2,235.6,237.3,"#7F7F7F"
2,237.3,243.199373,"#FFFFFF"
20,0,5.1,"#FFFFFF"
20,5.1,9.2,"#404040"
20,9.2,12.1,"#FFFFFF"
20,12.1,17.9,"#404040"
20,17.9,21.3,"#FFFFFF"
20,21.3,22.3,"#BFBFBF"
20,22.3,25.6,"#FFFFFF"
20,25.6,27.5,"#8B0000"
20,27.5,29.4,"#8B0000"
20,29.4,32.1,"#FFFFFF"
20,32.1,34.4,"#BFBFBF"
20,34.4,37.6,"#FFFFFF"
20,37.6,41.7,"#404040"
20,41.7,42.1,"#FFFFFF"
20,42.1,46.4,"#BFBFBF"
20,46.4,49.8,"#FFFFFF"
20,49.8,55,"#404040"
20,55,56.5,"#FFFFFF"
20,56.5,58.4,"#7F7F7F"
20,58.4,63.02552,"#FFFFFF"
21,0,2.8,"#000000"
21,2.8,6.8,"#BFBFBF"
21,6.8,10.9,"#000000"
21,10.9,13.2,"#8B0000"
21,13.2,14.3,"#8B0000"
21,14.3,16.4,"#FFFFFF"
21,16.4,24,"#000000"
