14,94.7,96.3,1,1,1
14,96.3,101.4,0.5,0.5,0.5
14,101.4,103.2,1,1,1
14,103.2,104,0.5,0.5,0.5
14,104,107.3,1,1,1
15,0,3.9,0,0,0
15,3.9,8.7,0.75,0.75,0.75
15,8.7,15.8,0,0,0
15,15.8,19,0.55,0,0
15,19,20.7,0.55,0,0
15,20.7,25.7,1,1,1
15,25.7,28.1,0.5,0.5,0.5
15,28.1,30.3,1,1,1
15,30.3,31.2,0.5,0.5,0.5
15,31.2,33.6,1,1,1
15,33.6,40.1,0.25,0.25,0.25
15,40.1,42.8,1,1,1
15,42.8,43.6,0.75,0.75,0.75
15,43.6,44.8,1,1,1
15,44.8,49.5,0.25,0.25,0.25
15,49.5,52.9,1,1,1
15,52.9,59.1,0.25,0.25,0.25
15,59.1,59.3,1,1,1
15,59.3,63.7,0.75,0.75,0.75
15,63.7,67.2,1,1,1
15,67.2,67.3,0.75,0.75,0.75
15,67.3,67.5,1,1,1
15,67.5,72.7,0.75,0.75,0.75
15,72.7,75.2,1,1,1
15,75.2,76.6,0.75,0.75,0.75
15,76.6,78.3,1,1,1
15,78.3,81.7,0.5,0.5,0.5
15,81.7,85.2,1,1,1
15,85.2,89.1,0.5,0.5,0.5
15,89.1,94.3,1,1,1
15,94.3,98.5,0.5,0.5,0.5
15,98.5,102.5,1,1,1
16,0,7.9,1,1,1
16,7.9,10.5,0.5,0.5,0.5
16,10.5,12.6,1,1,1
16,12.6,14.8,0.5,0.5,0.5
16,14.8,16.8,1,1,1
16,16.8,21.2,0.5,0.5,0.5
16,21.2,24.2,1,1,1
16,24.2,28.1,0.5,0.5,0.5
16,28.1,34.6,1,1,1
16,34.6,36.6,0.55,0,0
16,36.6,38.6,0.55,0,0
16,38.6,47,0,0,0
16,47,52.6,1,1,1
16,52.6,56.7,0.5,0.5,0.5
16,56.7,57.4,1,1,1
16,57.4,66.7,0,0,0
16,66.7,70.8,1,1,1
16,70.8,72.9,0.5,0.5,0.5
16,72.9,74.1,1,1,1
16,74.1,79.2,0.25,0.25,0.25
16,79.2,81.7,1,1,1
16,81.7,84.2,0.5,0.5,0.5
16,84.2,87.1,1,1,1
16,87.1,88.7,0.75,0.75,0.75
16,88.7,90.3,1,1,1
17,0,3.3,1,1,1
17,3.3,6.5,0.5,0.5,0.5
17,6.5,10.7,1,1,1
17,10.7,16,0.25,0.25,0.25
17,16,22.2,1,1,1
17,22.2,24,0.55,0,0
17,24,25.8,0.55,0,0
17,25.8,31.8,1,1,1
17,31.8,38.1,0.5,0.5,0.5
17,38.1,38.4,1,1,1
17,38.4,40.9,0.75,0.75,0.75
17,40.9,44.9,1,1,1
17,44.9,47.4,0.75,0.75,0.75
17,47.4,50.2,1,1,1
17,50.2,57.6,0.25,0.25,0.25
17,57.6,58.3,1,1,1
17,58.3,61.1,0.25,0.25,0.25
17,61.1,62.6,1,1,1
17,62.6,64.2,0.5,0.5,0.5
17,64.2,67.1,1,1,1
17,67.1,70.9,0.25,0.25,0.25
17,70.9,74.8,1,1,1
17,74.8,75.3,0.75,0.75,0.75
17,75.3,81.1,1,1,1
18,0,2.9,1,1,1
18,2.9,7.1,0.5,0.5,0.5
18,7.1,8.5,1,1,1
18,8.5,10.9,0.75,0.75,0.75
18,10.9,15.4,1,1,1
18,15.4,17.2,0.55,0,0
18,17.2,19,0.55,0,0
18,19,25,1,1,1
18,25,32.7,0,0,0
18,32.7,37.2,1,1,1
18,37.2,43.5,0.25,0.25,0.25
18,43.5,48.2,1,1,1
18,48.2,53.8,0.25,0.25,0.25
18,53.8,56.2,1,1,1
18,56.2,59,0.5,0.5,0.5
18,59,61.6,1,1,1
18,61.6,66.8,0,0,0
18,66.8,68.7,1,1,1
18,68.7,73.1,0.75,0.75,0.75
18,73.1,78,1,1,1
19,0,6.9,1,1,1
19,6.9,13.9,0.75,0.75,0.75
19,13.9,14,1,1,1
19,14,16.3,0.75,0.75,0.75
19,16.3,20,1,1,1
19,20,24.4,0,0,0
19,24.4,26.5,0.55,0,0
19,26.5,28.6,0.55,0,0
19,28.6,32.4,0,0,0
19,32.4,35.5,1,1,1
19,35.5,38.3,0.75,0.75,0.75
